city,year,crime_original,crime_name,crime_section,incidences,rate
Jamshedpur,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",8,0.7
Kanpur,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),150,5.6
Kanpur,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),109,4.1
Kanpur,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",41,1.5
Kochi,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),4,0.3
Kochi,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),11,0.8
Kochi,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",3,0.2
Kolkata,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),49,0.4
Kolkata,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),55,0.4
Kolkata,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",43,0.3
Lucknow,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),83,3.7
Lucknow,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),67,3
Lucknow,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",19,0.8
Ludhiana,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),81,5.8
Ludhiana,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),81,5.8
Ludhiana,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",12,0.9
Madurai,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),34,2.8
Madurai,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),50,4.2
Madurai,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",0,0
Meerut,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),34,2.9
Meerut,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),55,4.7
Meerut,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",5,0.4
Mumbai,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),228,1.4
Mumbai,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),170,1
Mumbai,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",7,0
Nagpur,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),88,4.1
Nagpur,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),69,3.3
Nagpur,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",5,0.2
Nasik,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),37,3.2
Nasik,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),32,2.8
Nasik,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",1,0.1
Patna,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),130,7.6
Patna,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),20,1.2
Patna,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",4,0.2
Pune,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),129,3.4
Pune,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),94,2.5
Pune,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",6,0.2
Rajkot,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),38,3.8
Rajkot,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),22,2.2
Rajkot,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",1,0.1
Surat,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),87,3.1
Surat,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),19,0.7
Surat,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",1,0
Vadodara,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),23,1.5
Vadodara,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),25,1.7
Vadodara,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",1,0.1
Varanasi,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),15,1.2
Varanasi,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),34,2.8
Varanasi,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",15,1.2
Vijayawada,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),33,3.3
Vijayawada,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),49,4.8
Vijayawada,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",1,0.1
Vishakhapatnam,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),24,1.8
Vishakhapatnam,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),25,1.9
Vishakhapatnam,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",4,0.3
Agra,2010,Total Rape,Rape,,13,1
Agra,2010,Custodial Rape,Custodial rape,,0,0
Agra,2010,Others,Other rape,,13,1
Ahmedabad,2010,Total Rape,Rape,,49,1.1
Ahmedabad,2010,Custodial Rape,Custodial rape,,0,0
Ahmedabad,2010,Others,Other rape,,49,1.1
Allahabad,2010,Total Rape,Rape,,7,0.7
Allahabad,2010,Custodial Rape,Custodial rape,,0,0
Allahabad,2010,Others,Other rape,,7,0.7
Amritsar,2010,Total Rape,Rape,,24,2.4
Amritsar,2010,Custodial Rape,Custodial rape,,0,0
Amritsar,2010,Others,Other rape,,24,2.4
Asansol,2010,Total Rape,Rape,,18,1.6
Asansol,2010,Custodial Rape,Custodial rape,,0,0
Asansol,2010,Others,Other rape,,18,1.6
Bengaluru,2010,Total Rape,Rape,,65,1.1
Bengaluru,2010,Custodial Rape,Custodial rape,,0,0
Bengaluru,2010,Others,Other rape,,65,1.1
Bhopal,2010,Total Rape,Rape,,73,5
Bhopal,2010,Custodial Rape,Custodial rape,,0,0
Bhopal,2010,Others,Other rape,,73,5
Chennai,2010,Total Rape,Rape,,47,0.7
Chennai,2010,Custodial Rape,Custodial rape,,0,0
Chennai,2010,Others,Other rape,,47,0.7
Coimbatore,2010,Total Rape,Rape,,15,1
Coimbatore,2010,Custodial Rape,Custodial rape,,0,0
Coimbatore,2010,Others,Other rape,,15,1
Delhi City,2010,Total Rape,Rape,,414,3.2
Delhi City,2010,Custodial Rape,Custodial rape,,0,0
Delhi City,2010,Others,Other rape,,414,3.2
Dhanbad,2010,Total Rape,Rape,,5,0.5
Dhanbad,2010,Custodial Rape,Custodial rape,,0,0
Dhanbad,2010,Others,Other rape,,5,0.5
Faridabad,2010,Total Rape,Rape,,51,4.8
Faridabad,2010,Custodial Rape,Custodial rape,,0,0
Faridabad,2010,Others,Other rape,,51,4.8
Hyderabad,2010,Total Rape,Rape,,45,0.8
Hyderabad,2010,Custodial Rape,Custodial rape,,0,0
Hyderabad,2010,Others,Other rape,,45,0.8
Indore,2010,Total Rape,Rape,,69,4.2
Indore,2010,Custodial Rape,Custodial rape,,0,0
Indore,2010,Others,Other rape,,69,4.2
Jabalpur,2010,Total Rape,Rape,,81,7.3
Jabalpur,2010,Custodial Rape,Custodial rape,,0,0
Jabalpur,2010,Others,Other rape,,81,7.3
Jaipur,2010,Total Rape,Rape,,71,3.1
Jaipur,2010,Custodial Rape,Custodial rape,,0,0
Jaipur,2010,Others,Other rape,,71,3.1
Jamshedpur,2010,Total Rape,Rape,,16,1.5
Jamshedpur,2010,Custodial Rape,Custodial rape,,0,0
Jamshedpur,2010,Others,Other rape,,16,1.5
Kanpur,2010,Total Rape,Rape,,42,1.6
Kanpur,2010,Custodial Rape,Custodial rape,,0,0
Kanpur,2010,Others,Other rape,,42,1.6
Kochi,2010,Total Rape,Rape,,20,1.5
Kochi,2010,Custodial Rape,Custodial rape,,0,0
Kochi,2010,Others,Other rape,,20,1.5
Kolkata,2010,Total Rape,Rape,,32,0.2
Kolkata,2010,Custodial Rape,Custodial rape,,0,0
Kolkata,2010,Others,Other rape,,32,0.2
Lucknow,2010,Total Rape,Rape,,52,2.3
Lucknow,2010,Custodial Rape,Custodial rape,,0,0
Lucknow,2010,Others,Other rape,,52,2.3
Ludhiana,2010,Total Rape,Rape,,52,3.7
Ludhiana,2010,Custodial Rape,Custodial rape,,0,0
Ludhiana,2010,Others,Other rape,,52,3.7
Madurai,2010,Total Rape,Rape,,3,0.3
Madurai,2010,Custodial Rape,Custodial rape,,0,0
Madurai,2010,Others,Other rape,,3,0.3
Meerut,2010,Total Rape,Rape,,19,1.6
Meerut,2010,Custodial Rape,Custodial rape,,0,0
Meerut,2010,Others,Other rape,,19,1.6
Mumbai,2010,Total Rape,Rape,,194,1.2
Mumbai,2010,Custodial Rape,Custodial rape,,0,0
Mumbai,2010,Others,Other rape,,194,1.2
Nagpur,2010,Total Rape,Rape,,58,2.7
Nagpur,2010,Custodial Rape,Custodial rape,,0,0
Nagpur,2010,Others,Other rape,,58,2.7
Nasik,2010,Total Rape,Rape,,30,2.6
Nasik,2010,Custodial Rape,Custodial rape,,0,0
Nasik,2010,Others,Other rape,,30,2.6
Patna,2010,Total Rape,Rape,,25,1.5
Patna,2010,Custodial Rape,Custodial rape,,0,0
Patna,2010,Others,Other rape,,25,1.5
Pune,2010,Total Rape,Rape,,91,2.4
Pune,2010,Custodial Rape,Custodial rape,,0,0
Pune,2010,Others,Other rape,,91,2.4
Rajkot,2010,Total Rape,Rape,,12,1.2
Rajkot,2010,Custodial Rape,Custodial rape,,0,0
Rajkot,2010,Others,Other rape,,12,1.2
Surat,2010,Total Rape,Rape,,23,0.8
Surat,2010,Custodial Rape,Custodial rape,,0,0
Surat,2010,Others,Other rape,,23,0.8
Vadodara,2010,Total Rape,Rape,,7,0.5
Vadodara,2010,Custodial Rape,Custodial rape,,0,0
Vadodara,2010,Others,Other rape,,7,0.5
Varanasi,2010,Total Rape,Rape,,2,0.2
Varanasi,2010,Custodial Rape,Custodial rape,,0,0
Varanasi,2010,Others,Other rape,,2,0.2
Vijayawada,2010,Total Rape,Rape,,25,2.5
Vijayawada,2010,Custodial Rape,Custodial rape,,0,0
Vijayawada,2010,Others,Other rape,,25,2.5
Vishakhapatnam,2010,Total Rape,Rape,,53,4
Vishakhapatnam,2010,Custodial Rape,Custodial rape,,0,0
Vishakhapatnam,2010,Others,Other rape,,53,4
Agra,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",171,12.9
Agra,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,145,11
Agra,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,26,2
Agra,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),2,0.2
Ahmedabad,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",207,4.6
Ahmedabad,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,177,3.9
Ahmedabad,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,30,0.7
Ahmedabad,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),26,0.6
Allahabad,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",40,3.8
Allahabad,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,30,2.9
Allahabad,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,10,1
Allahabad,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),2,0.2
Amritsar,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",51,5
Amritsar,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,43,4.3
Amritsar,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,8,0.8
Amritsar,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),3,0.3
Asansol,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",21,1.9
Asansol,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,13,1.2
Asansol,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,8,0.7
Asansol,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),4,0.4
Bengaluru,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",513,9
Bengaluru,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,29,0.5
Bengaluru,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,484,8.5
Bengaluru,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),66,1.2
Bhopal,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",59,4.1
Bhopal,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,53,3.6
Bhopal,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,6,0.4
Bhopal,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),6,0.4
Chennai,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",47,0.7
Chennai,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,30,0.5
Chennai,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,17,0.3
Chennai,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),2,0
Coimbatore,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",22,1.5
Coimbatore,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,10,0.7
Coimbatore,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,12,0.8
Coimbatore,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),1,0.1
Delhi City,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",2629,20.6
Delhi City,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,1422,11.1
Delhi City,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,1207,9.4
Delhi City,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),30,0.2
Dhanbad,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",46,4.3
Dhanbad,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,40,3.8
Dhanbad,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,6,0.6
Dhanbad,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),16,1.5
Faridabad,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",102,9.7
Faridabad,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,86,8.2
Faridabad,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,16,1.5
Faridabad,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),9,0.9
Hyderabad,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",121,2.2
Hyderabad,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,41,0.7
Hyderabad,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,80,1.4
Hyderabad,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),7,0.1
Indore,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",30,1.8
Indore,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,23,1.4
Indore,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,7,0.4
Indore,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),5,0.3
Jabalpur,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",27,2.4
Jabalpur,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,25,2.2
Jabalpur,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,2,0.2
Jabalpur,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),1,0.1
Jaipur,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",207,8.9
Jaipur,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,193,8.3
Jaipur,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,14,0.6
Jaipur,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),4,0.2
Jamshedpur,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",43,3.9
Jamshedpur,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,25,2.3
Jamshedpur,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,18,1.6
Jamshedpur,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),3,0.3
Kanpur,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",316,11.7
Kanpur,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,263,9.8
Kanpur,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,53,2
Kanpur,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),10,0.4
Kochi,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",8,0.6
Kochi,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,5,0.4
Kochi,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,3,0.2
Kochi,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),2,0.1
Kolkata,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",125,0.9
Kolkata,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,91,0.7
Kolkata,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,34,0.3
Kolkata,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),0,0
Lucknow,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",251,11.1
Lucknow,2010,Kidnapping & Abduction of women and girls,Kidnapping & abduction of women and girls,,246,10.9
Lucknow,2010,Kidnapping & Abduction of others,Kidnapping & abduction of others,,5,0.2
Lucknow,2010,Dacoity (Sec. 395-398 IPC),Dacoity,(Sec. 395-398 IPC),11,0.5
Ludhiana,2010,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC",Kidnapping & abduction,"(Sec. 363-369, 371-373 IPC)",143,10.3
